date,cum_ret_high,cum_ret_low,z_high,z_low,spread,spread_mean,upper_band,lower_band,signal
2023-05-16,1.0,1.0,,,,,,,0
2023-05-17,1.00418410041841,0.9935779816513761,,,,,,,0
2023-05-18,0.9723849372384937,0.9940366972477065,,,,,,,0
2023-05-19,0.9623430962343096,0.9766055045871559,,,,,,,0
2023-05-22,0.9635983263598327,0.9770642201834863,,,,,,,0
2023-05-23,0.9431799163179916,0.9564220183486238,,,,,,,0
2023-05-24,0.9424686192468619,0.9302752293577982,,,,,,,0
2023-05-25,0.9376150627615063,0.9321100917431192,,,,,,,0
2023-05-26,0.9205020920502092,0.9344036697247706,,,,,,,0
2023-05-29,0.9082008368200837,0.9334862385321101,,,,,,,0
2023-05-30,0.9413807531380753,0.9339449541284404,,,,,,,0
2023-05-31,0.9253974895397489,0.9197247706422018,,,,,,,0
2023-06-01,0.9326359832635983,0.9220183486238532,,,,,,,0
2023-06-02,0.95581589958159,0.9261467889908257,,,,,,,0
2023-06-05,0.9196652719665273,0.9174311926605504,,,,,,,0
2023-06-06,0.917489539748954,0.9096330275229356,,,,,,,0
2023-06-07,0.8673640167364017,0.9114678899082569,,,,,,,0
2023-06-08,0.8703347280334728,0.9266055045871558,,,,,,,0
2023-06-09,0.8871966527196652,0.9256880733944953,,,,,,,0
2023-06-12,0.8868200836820084,0.9105504587155964,,,,,,,0
2023-06-13,0.8916317991631799,0.9165137614678899,,,,,,,0
2023-06-14,0.892887029288703,0.9174311926605504,,,,,,,0
2023-06-15,0.9660251046025105,0.9311926605504587,,,,,,,0
2023-06-16,0.9669456066945606,0.9353211009174311,,,,,,,0
2023-06-19,0.9534728033472804,0.9243119266055045,,,,,,,0
2023-06-20,0.9539748953974896,0.920183486238532,,,,,,,0
2023-06-21,0.9410460251046024,0.9105504587155964,,,,,,,0
2023-06-26,0.9421338912133891,0.8848623853211008,,,,,,,0
2023-06-27,0.9350209205020921,0.8940366972477063,,,,,,,0
2023-06-28,0.9393305439330544,0.8944954128440367,,,,,,,0
2023-06-29,0.9309623430962343,0.8917431192660551,,,,,,,0
2023-06-30,0.9572803347280334,0.9073394495412844,,,,,,,0
2023-07-03,0.9618410041841003,0.928440366972477,,,,,,,0
2023-07-04,0.9592050209205021,0.9302752293577982,,,,,,,0
2023-07-05,0.9519246861924686,0.9243119266055045,,,,,,,0
2023-07-06,0.9407949790794979,0.9197247706422018,,,,,,,0
2023-07-07,0.9299163179916318,0.9233944954128439,,,,,,,0
2023-07-10,0.9573221757322177,0.9229357798165138,,,,,,,0
2023-07-11,0.9585355648535565,0.928440366972477,,,,,,,0
2023-07-12,0.9497489539748954,0.9211009174311926,,,,,,,0
2023-07-13,0.9623430962343096,0.9389908256880733,,,,,,,0
2023-07-14,0.9551464435146444,0.9403669724770642,,,,,,,0
2023-07-17,0.9441422594142259,0.9302752293577982,,,,,,,0
2023-07-18,0.9435146443514645,0.9307339449541284,,,,,,,0
2023-07-19,0.9184100418410042,0.9362385321100917,,,,,,,0
2023-07-20,0.9248953974895398,0.9311926605504587,,,,,,,0
2023-07-21,0.9271548117154812,0.9339449541284404,,,,,,,0
2023-07-24,0.9162343096234309,0.9353211009174311,,,,,,,0
2023-07-25,0.9470711297071129,0.9899082568807338,,,,,,,0
2023-07-26,0.94836820083682,0.9990825688073395,,,,,,,0
2023-07-27,0.9497071129707113,0.9871559633027522,,,,,,,0
2023-07-28,0.9625523012552302,1.0857798165137615,,,,,,,0
2023-07-31,0.9947698744769874,1.1055045871559632,,,,,,,0
2023-08-01,0.9853556485355649,1.0857798165137615,,,,,,,0
2023-08-02,0.9895397489539749,1.0940366972477065,,,,,,,0
2023-08-03,1.0005857740585773,1.1206422018348623,,,,,,,0
2023-08-04,1.0272384937238492,1.1330275229357798,,,,,,,0
2023-08-07,1.0313389121338912,1.1362385321100916,,,,,,,0
2023-08-08,1.0340585774058577,1.1422018348623852,,,,,,,0
2023-08-09,1.0334728033472804,1.1426605504587155,2.2984532527539727,2.5547727496199575,-0.25631949686598476,,,,0
2023-08-10,1.0313807531380754,1.1559633027522935,2.1713461801367306,2.555146217891047,-0.3838000377543165,,,,0
2023-08-11,1.0104602510460252,1.1055045871559632,1.60733604298074,1.8095401933552928,-0.20220415037455286,,,,0
2023-08-14,0.9744769874476987,1.0894495412844036,0.6567064198886808,1.550338366620395,-0.8936319467317141,,,,0
2023-08-15,0.9677824267782428,1.1059633027522935,0.4773295685185644,1.6892101422105095,-1.2118805736919451,,,,0
2023-08-16,0.9732217573221758,1.1013761467889909,0.6150826319799247,1.5724972124131915,-0.9574145804332668,,,,0
2023-08-17,0.9843096234309623,1.098623853211009,0.8827563867069228,1.4821403474972212,-0.5993839607902984,,,,0
2023-08-18,0.9869037656903766,1.0995412844036696,0.9246269691377075,1.4366451431142393,-0.5120181739765318,,,,0
2023-08-21,0.9747280334728033,1.0522935779816514,0.5916952948396491,0.8584399518731719,-0.2667446570335228,,,,0
2023-08-22,0.9654811715481172,1.065137614678899,0.33455692525032654,0.9764802615460451,-0.6419233362957185,,,,0
2023-08-23,0.9518828451882845,1.0458715596330275,-0.038434999390639574,0.7307838678889083,-0.7692188672795478,,,,0
2023-08-24,0.957949790794979,1.0807339449541284,0.11399529422740289,1.0959282895156786,-0.9819329952882757,,,,0
2023-08-25,0.955397489539749,1.0747706422018348,0.03379580378068892,0.9943939447777913,-0.9605981409971024,,,,0
2023-08-28,0.9644351464435147,1.0912844036697247,0.2594281802904186,1.1429012259361826,-0.883473045645764,,,,0
2023-08-29,0.997907949790795,1.0724770642201833,1.1160994574056302,0.9001583133128975,0.21594114409273268,,,,0
2023-08-30,0.9937238493723849,1.0348623853211008,0.9733846865874866,0.45531224506374823,0.5180724415237383,,,,0
2023-08-31,0.9897489539748955,1.018348623853211,0.840164334779006,0.24930711222259788,0.5908572225564082,,,,0
2023-09-01,0.9891213389121339,1.0266055045871558,0.8062621631798849,0.3241088091936686,0.4821533539862163,,,,0
2023-09-04,0.9943514644351464,1.0353211009174312,0.9368142344566585,0.405421709045001,0.5313925254116574,,,,0
2023-09-05,0.990878661087866,1.0266055045871558,0.8155453990919788,0.2868085353263706,0.5287368637656082,,,,0
2023-09-06,0.980836820083682,1.015137614678899,0.4901472883831036,0.13442780085988465,0.35571948752321897,,,,0
2023-09-07,0.9477405857740585,1.0146788990825688,-0.6016733358238292,0.11081743331297436,-0.7124907691368035,,,,0
2023-09-08,0.9328033472803348,1.0206422018348624,-1.1584926776523126,0.16259786012503494,-1.3210905377773474,,,,0
2023-09-11,0.9269037656903766,1.036697247706422,-1.3172640492923995,0.33567527638269473,-1.6529393256750942,,,,0
2023-09-12,0.9118410041841004,1.0270642201834863,-1.7446170232983187,0.2026310250408705,-1.9472480483391892,,,,0
2023-09-13,0.906276150627615,1.0220183486238532,-1.8464598768863247,0.12292226674200461,-1.9693821436283294,,,,0
2023-09-14,0.8992887029288703,1.0224770642201835,-1.971753756973285,0.10886248548220183,-2.080616242455487,,,,0
2023-09-15,0.8692887029288703,1.011467889908257,-2.6839127469441695,-0.04869092094658025,-2.635221825997589,,,,0
2023-09-18,0.8914644351464436,1.0155963302752293,-1.957649630154677,-0.024828920460322895,-1.9328207096943542,,,,0
2023-09-19,0.8883682008368201,1.010091743119266,-1.963418526750339,-0.12299471425942092,-1.840423812490918,,,,0
2023-09-20,0.8782426778242678,1.0045871559633026,-2.1287419463549453,-0.22447255760941015,-1.904269388745535,,,,0
2023-09-21,0.8649790794979079,0.9967889908256881,-2.3398013016266694,-0.36190034694400486,-1.9779009546826645,,,,0
2023-09-22,0.8825523012552302,1.0371559633027523,-1.81550424049881,0.16825537476901942,-1.9837596152678294,,,,0
2023-09-25,0.8756485355648536,1.0045871559633026,-1.8876567223374703,-0.3133037005916722,-1.5743530217457982,,,,0
